cname_qog,year,br_elect,ht_region,act_act,cckp_rain,cckp_temp,wdi_co2,fao_luagr,fao_luforest,epi_cda,epi_msw,epi_uwd
Afghanistan,2015,2,8,0,32.4333333333333,13.85,0.262555710891417,58.0699996948242,1.85000002384186,0,0,24.6126599332647
Albania,2015,3,1,1,87.3666666666667,12.4583333333333,1.60264803417777,42.8600006103516,28.7999992370605,34.8950889226185,0,49.4219251288282
Algeria,2015,2,3,1,6.25,23.4166666666667,3.85455657561633,17.4099998474121,0.819999992847443,33.910971601414,91.6319999838433,48.2142648555303
Andorra,2015,NA,5,1,61.7083333333333,9.71666666666667,5.96978631218674,40.0200004577637,34.0400009155273,NA,52.1,100
Angola,2015,2,4,1,79.5,21.7666666666667,1.24024546214599,44.3499984741211,55.6500015258789,26.6688485227415,0,7.58072203773712
Antigua and Barbuda,2015,3,10,0,130.841666666667,26.9416666666667,5.83954641643332,20.4500007629395,19.2000007629395,45.6655184981472,75.0728,45.1160557909539
Azerbaijan,2015,2,1,1,36.8583333333333,13.508333333333301,3.89640608617728,57.7000007629395,13.039999961853,50.1421399331935,0,46.003175635274
Argentina,2015,3,2,1,49.9,14.9083333333333,4.6640107478523,54.3400001525879,10.6300001144409,47.2607869729658,44.6158000027917,58.6147362978137
Australia,2015,3,5,1,37.2583333333333,22.2416666666667,15.3397835782213,45.310001373291,17.3199996948242,58.7989358813082,77.3211,80.1129378322525
Austria,2015,3,5,1,95.7,8.1,7.08859223258845,32.939998626709,47.0299987792969,74.9181704198118,97.184,100
Bahamas,2015,3,10,1,106.808333333333,26.0083333333333,5.38967841242524,1.39999997615814,50.939998626709,27.0986893145326,0,48.113004934608
Bahrain,2015,2,3,0,4.45,28.8583333333333,23.977086432856,11.0500001907349,0.769999980926514,45.6287217437652,60.383999996546,49.5514158755025
Bangladesh,2015,2,8,1,211.866666666667,25.2583333333333,0.518850858828864,70.3899993896484,14.4700002670288,22.0499686682248,4.98749999977163,25.2213484374464
Armenia,2015,3,1,0,48.3916666666667,7.725,1.64200409290141,58.8899993896484,11.5699996948242,40.8817368593298,0,60.6214249462263
Barbados,2015,3,10,1,130.033333333333,27.0666666666667,4.39540312066283,25.5799999237061,14.6499996185303,61.1082985026283,67.2300000170923,48.5606265764472
Belgium,2015,3,5,1,69.3583333333333,11.0666666666667,8.81183580629608,43.8600006103516,22.7600002288818,63.4603712400321,97.558,91.4067869621541
Bhutan,2015,3,8,0,148.591666666667,11.9,1.46604229291802,13.789999961853,71.2300033569336,0,59.6809999997305,29.9739188284263
Bolivia,2015,3,2,0,85.7583333333333,21.4416666666667,1.84670253998949,34.7700004577637,48.0299987792969,28.3176037497533,31.1303999972961,36.2430733118997
Bosnia and Herzegovina,2015,2,1,1,85.6833333333333,10.975,5.41491199089276,42.5,42.2000007629395,41.9860768724647,27.8648729967967,55.9058062307088
Botswana,2015,3,4,1,28.725,22.7916666666667,2.56084595957214,45.6300010681152,27.9599990844727,25.9885450216386,0.690000000028456,18.3187133529884
Brazil,2015,3,2,1,135.075,26.0583333333333,2.46678804837845,28.1700000762939,60.2900009155273,32.027831058412,65.7588246618653,43.0167508033385
Belize,2015,3,10,0,153.941666666667,26.125,1.60524529483311,7.44999980926514,58.4300003051758,44.4901354827982,16.9999999990136,39.2916582858874
Solomon Islands,2015,3,9,1,246.841666666667,25.575,0.31616366946435,4.03999996185303,90.2699966430664,45.2241797501097,0,12.3281425446721
Brunei,2015,0,7,0,236.875,26.8583333333333,17.0487434533522,2.73000001907349,72.1100006103516,34.5735064586192,42.4800000010173,78.0846585936933
Bulgaria,2015,3,1,1,60.0083333333333,11.8,6.23257956160714,46.1699981689453,35.310001373291,69.8585550858203,83.6297080106277,56.8309988483272
Myanmar,2015,2,7,0,161.583333333333,23.45,0.423286250838684,19.5200004577637,45.9199981689453,21.0206545106533,0,26.8394981254382
Burundi,2015,2,4,1,104.383333333333,20.6,0.0397016544242488,79.1699981689453,10.8900003433228,12.5022757239715,0,3.43671333236557
Belarus,2015,2,1,1,43.925,8.71666666666667,6.14141088532982,42.2400016784668,42.5299987792969,55.7038905050261,77.52,60.1042493910961
Cambodia,2015,2,7,1,143.166666666667,27.8833333333333,0.555905458747502,31.5300006866455,50.1199989318848,6.75720861630396,0,30.7954701456065
Cameroon,2015,2,4,0,119.008333333333,25,0.340283662787024,20.6299991607666,43.6199989318848,50.5128785684224,10.2440000008378,5.01951841083421
Canada,2015,3,5,1,36.7166666666667,-6.3,15.3889503062328,6.46999979019165,38.7200012207031,62.0724843260183,84.6786600089854,90.4027448579675
Cape Verde,2015,3,4,0,28.5,23.2916666666667,0.94340467619387,19.6000003814697,10.9700002670288,44.7211990204467,0,33.3881566672243
Central African Republic,2015,2,4,0,113.358333333333,25.4333333333333,0.0652902071366096,8.14999961853027,36.0400009155273,43.0175738558717,0,0
Sri Lanka,2015,3,8,1,194.783333333333,27.3833333333333,0.959155698617072,44.2700004577637,34.4000015258789,19.0462385186705,4.4475,45.468803965027
Chad,2015,2,4,1,30.5333333333333,27.425,0.0709441409966356,39.9000015258789,3.88000011444092,28.9940232236629,0,0
Chile,2015,3,2,1,46.8166666666667,9.04166666666667,4.63258565848197,21.2299995422363,23.6700000762939,42.8145271313803,65.6925,65.9724007843054
China,2015,0,6,1,50.0666666666667,7.5,7.39852456644448,56.0900001525879,22.3099994659424,26.6012803626708,51.81952,58.0033373312319
Taiwan,2015,3,6,NA,NA,NA,NA,NA,NA,57.2873128457986,0,66.2709673002942
Colombia,2015,3,2,1,181.483333333333,25.4166666666667,1.98039913875788,40.3400001525879,54.2000007629395,33.7591736235638,100,48.7319269022422
Comoros,2015,3,4,0,153.958333333333,24.8166666666667,0.21697555002161,71.4700012207031,18.8700008392334,38.2971290714276,0,12.4834320328827
Congo,2015,2,4,0,124.408333333333,25,0.665272611017701,31.1200008392334,64.4700012207031,0,0,11.2170880684017
"Congo, Democratic Republic",2015,2,4,0,126.833333333333,24.35,0.0372257193904917,14.1999998092651,58.0800018310547,16.316018426372,3.5280000001001,8.40362422379023
Costa Rica,2015,3,2,1,234.291666666667,25.0666666666667,1.54991476553095,34.810001373291,57.8300018310547,50.7234649354507,64.7944,54.1944209376071
Croatia,2015,3,1,1,88.7416666666667,12.35,4.11834868365336,27.1599998474121,33.9599990844727,58.5754845961393,79.9774560012092,62.3978187902698
Cuba,2015,1,2,0,96.3,26.5833333333333,2.58233028965417,59.9500007629395,30.5900001525879,39.2926103187393,25.8658400014992,45.7282038224197
Cyprus (1975-),2015,3,3,1,38.7166666666667,19.5833333333333,5.28737063786354,13.710000038147,18.6900005340576,61.3069785296029,77.522,90.5033590334249
Czech Republic,2015,3,1,1,47.2916666666667,9.75,9.468220308648,45.25,34.560001373291,83.8887291662101,89.472,63.6781912329452
Benin,2015,3,4,1,76.9916666666667,28.175,0.57349144549824,35.0299987792969,30.0200004577637,24.0907788341248,5.75000000072893,10.8825432353843
Denmark,2015,3,5,1,71.6583333333333,9.23333333333333,5.4222855949424,65.8499984741211,15.6199998855591,99.9936811230394,99.754,94.7413728622304
Dominica,2015,3,10,0,224.8,22.8083333333333,2.47272522933847,33.3300018310547,63.8300018310547,53.5018707507598,62.416,43.8155557480797
Dominican Republic,2015,3,2,0,113.958333333333,24.725,2.34749515643358,50.2799987792969,43.5400009155273,51.4052043849834,5.727,34.0748832172824
Ecuador,2015,3,2,1,223.191666666667,22.3666666666667,2.66904432637019,23.3099994659424,51.6199989318848,33.1491867928278,53.5572000004003,45.7277342516063
El Salvador,2015,3,2,0,134.075,25.7083333333333,1.0829757645858,70.7300033569336,29.2700004577637,53.4201381191688,55.52200000245,39.6263096181035
Equatorial Guinea,2015,1,4,0,134.583333333333,24.75,5.15891929267274,10.1199998855591,88.7799987792969,38.0467504833003,0,27.9829094928131
Ethiopia (1993-),2015,2,4,0,68.5333333333333,23.6,0.136045863945994,32.8699989318848,15.4399995803833,2.99181121164227,0,8.76927611939587
Eritrea,2015,0,4,1,22.15,27.55,NA,75.1699981689453,10.6000003814697,38.265520525615,0,4.1441868046301
Estonia,2015,3,1,1,47.9583333333333,7.38333333333333,12.4388527657219,22.8400001525879,55.689998626709,48.4061814937448,74.4039070063425,58.7185130141843
Fiji,2015,2,9,0,148.858333333333,24.1333333333333,2.48230368155722,23.2600002288818,60.5699996948242,44.1607757452237,39.9925000008184,30.7009709553743
Finland,2015,3,5,1,49.5083333333333,3.65,7.77564229493364,7.48000001907349,73.7399978637695,74.2151836664876,97.69,100
France (1963-),2015,3,5,1,58.8833333333333,12.1833333333333,NA,52.4599990844727,30.75,79.635044729727,94.828,92.6995577739796
Djibouti,2015,2,4,1,16.3833333333333,29.1,0.686063241184561,73.4300003051758,0.239999994635582,24.3224503466838,0,16.2932364820116
Gabon,2015,2,4,1,125.958333333333,25.5416666666667,2.70174196456718,8.44999980926514,91.5500030517578,40.9699459839614,0,24.1512686917133
Georgia,2015,3,1,1,80.25,8.26666666666667,2.63020082270414,34.7999992370605,40.6199989318848,33.034997459516,0,51.6147785755917
